"season","Region","village","household","DogID","sex","health","hunt.HH","d.monitored","rr","ctmm.model","AKDE95","AKDEcore","speed","prop.HH","prop.village","space.model","p.space.cat","p.space.YN","np","p.speed.cat","p.speed.YN","nv"
"Wet","Sarh.W","Kira","KRA11","KRA11B","F","Good","Y",48,"Y","OUF anisotropic",544243,62700,1.31,64,91,"OUF anisotropic harmonic 12","24hr",1,30.61,"24hr",1,4.22
"Wet","Sarh.W","Kira","KRA11","KRA11A","F","Moderate","Y",18,"Y","OUF anisotropic",309155,25547,1.77,73,92,"OUF anisotropic harmonic 7","12hr",1,27.59,"24hr",1,2.75
"Wet","Sarh.W","Kira","KRA11","KRA11C","M","Moderate","Y",46,"Y","OUF anisotropic",214570,15511,0.92,76,86,"OUF anisotropic harmonic 3","24hr",1,26.03,"24hr",1,2.08
"Wet","Sarh.W","Kira","KRA12","KRA12A","F","Moderate","N",16,"Y","OUF anisotropic",385298,68826,1.01,50,88,"OUF anisotropic harmonic 3","24hr",1,34.95,"3hr",1,3.96
"Wet","Sarh.W","Kira","KRA13","KRA13A","M","Good","N",13,"Y","OU anisotropic",430483,66515,NA,40,92,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Kira","KRA14","KRA14B","F","Good","Y",29,"N","OUF anisotropic",973879312,307897777,1.07,22,26,"OUF anisotropic harmonic 1","24hr",1,1.76,"24hr",1,4.05
"Wet","Sarh.W","Kira","KRA15","KRA15A","M","Moderate","N",49,"Y","OUF anisotropic",842698,74602,2.68,11,65,"OUF anisotropic harmonic 7","24hr",1,39.52,"24hr",1,2.41
"Wet","Sarh.W","Kira","KRA16","KRA16A","F","Poor","N",5,"N","OU anisotropic",309921,64562,NA,67,98,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Kira","KRA17","KRA17A","M","Good","Y",48,"Y","OUF anisotropic",407768,44079,1.76,71,92,"OUF anisotropic harmonic 5","24hr",1,17.8,"12hr",1,2.29
"Wet","Sarh.W","Kira","KRA19","KRA19B","F","Moderate","N",16,"Y","OUF anisotropic",1234040,159031,0.99,69,90,"OUF anisotropic harmonic 6","None",0,NA,"24hr",1,12.67
"Wet","Sarh.W","Kira","KRA19","KRA19A","M","Moderate","N",45,"Y","OUF anisotropic",1023686,89554,1.29,64,88,"OUF anisotropic harmonic 10","24hr",1,23.46,"24hr",1,6.05
"Wet","Sarh.W","Kira","KRA19","KRA19C","F","Moderate","N",45,"Y","OUF anisotropic",1473644,131556,1.06,59,85,"OUF anisotropic harmonic 6","24hr",1,30.46,"24hr",1,7.41
"Wet","Sarh.W","Kira","KRA20","KRA20A","M","Moderate","N",32,"Y","OU anisotropic",344516,54673,NA,57,93,"OUF anisotropic harmonic 1","None",0,NA,NA,NA,0
"Wet","Sarh.W","Kira","KRA23","KRA23A","F","Poor","Y",6,"Y","OU anisotropic",241995,35182,NA,59,85,"OU anisotropic harmonic 3","None",0,NA,NA,NA,NA
"Wet","Sarh.W","Kira","KRA25","KRA25D","M","Good","Y",49,"Y","OUF anisotropic",342220,23896,1.24,71,89,"OUF anisotropic harmonic 4","24hr",1,25.85,"24hr",1,2.55
"Wet","Sarh.W","Kira","KRA25","KRA25B","F","Good","Y",48,"Y","OUF anisotropic",1039982,70614,1.13,67,76,"OUF anisotropic harmonic 5","24hr",1,31.04,"24hr",1,4.62
"Wet","Sarh.W","Kira","KRA25","KRA25C","M","Good","Y",49,"Y","OUF anisotropic",1020860,83433,1.38,69,78,"OUF anisotropic harmonic 5","24hr",1,58.52,"24hr",1,10.86
"Wet","Sarh.W","Kira","KRA27","KRA27A","M","Good","Y",49,"Y","OU anisotropic",510511,39355,NA,0,85,"OU anisotropic harmonic 4","None",0,NA,NA,NA,NA
"Wet","Sarh.W","Kira","KRA29","KRA29A","F","Good","N",50,"Y","OUF anisotropic",110071,9864,0.9,79,92,"OUF anisotropic harmonic 1","24hr",1,12.33,"24hr",1,0.57
"Wet","Sarh.W","Kira","KRA30","KRA30A","M","Moderate","N",50,"Y","OUF anisotropic",357469,32729,0.91,87,93,"OUF anisotropic harmonic 3","24hr",1,22.8,"24hr",1,3.1
"Wet","Sarh.W","Kira","KRA31","KRA31A","M","Poor","N",50,"Y","OUF anisotropic",186646,18792,1.12,80,94,"OUF anisotropic harmonic 6","24hr",1,22.29,"24hr",1,2.99
"Wet","Sarh.W","Kira","KRA32","KRA32A","M","Moderate","N",31,"Y","OU anisotropic",30500,3105,NA,80,98,"OU anisotropic harmonic 5","None",0,NA,NA,NA,NA
"Wet","Sarh.W","Kira","KRA33","KRA33A","F","Poor","N",48,"Y","OU anisotropic",25789,3696,NA,79,97,"OU anisotropic harmonic 1","24hr",1,9.54,NA,NA,NA
"Wet","Sarh.W","Kira","KRA34","KRA34B","M","Moderate","Y",48,"Y","OUF anisotropic",46631,6242,0.82,80,98,"OUF anisotropic harmonic 3","24hr",1,21.28,"24hr",1,1.26
"Wet","Sarh.W","Kira","KRA34","KRA34A","F","Poor","Y",47,"Y","OU anisotropic",99533,17328,NA,52,98,"OU anisotropic harmonic 1","None",0,NA,NA,NA,NA
"Wet","Sarh.E","Marabodokouya","MAR01","MAR01A","M","Moderate","Y",36,"Y","OU anisotropic",884941,112639,NA,62,76,"OU anisotropic harmonic 4","24hr",1,37.97,NA,NA,NA
"Wet","Sarh.E","Marabodokouya","MAR01","MAR01C","M","Poor","Y",35,"Y","OUF anisotropic",648106,80337,0.82,50,87,"OUF anisotropic harmonic 5","24hr",1,26.96,"24hr",1,5.04
"Wet","Sarh.E","Marabodokouya","MAR02","MAR02B","M","Poor","N",8,"Y","OUF anisotropic",641087,108375,1.4,69,79,"OUF anisotropic harmonic 13","24hr",1,89.05,"24hr",1,19.19
"Wet","Sarh.E","Marabodokouya","MAR02","MAR02A","F","Poor","N",3,"N","OU isotropic",4673354,1522674,NA,24,26,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.E","Marabodokouya","MAR04","MAR04B","F",NA,"Y",36,"Y","OUF anisotropic",10553497,2610939,1.09,55,67,"OUF anisotropic harmonic 7","None",0,NA,"24hr",1,8.33
"Wet","Sarh.E","Marabodokouya","MAR06","MAR06B","F","Moderate","Y",13,"Y","OUF anisotropic",1615717,141896,1.22,2,2,"OUF anisotropic harmonic 4","24hr",1,49.55,"24hr",1,7.78
"Wet","Sarh.E","Marabodokouya","MAR06","MAR06A","F","Moderate","Y",55,"Y","OUF anisotropic",9578072,1153940,1.37,67,70,"OUF anisotropic harmonic 6","24hr",1,20.76,"24hr",1,8.63
"Wet","Sarh.E","Marabodokouya","MAR06","MAR06D","F","Good","Y",43,"Y","OUF anisotropic",13171324,1485796,1.69,57,59,"OUF anisotropic harmonic 4","None",0,NA,"12hr",1,5.94
"Wet","Sarh.E","Marabodokouya","MAR06","MAR06C","M",NA,"Y",12,"Y","OUF isotropic",8124129,1447310,1.39,33,35,"OUF anisotropic harmonic 1","None",0,NA,"24hr",1,4.55
"Wet","Sarh.E","Marabodokouya","MAR07","MAR07A","F",NA,"Y",48,"Y","OUF anisotropic",11107978,2392693,1.02,42,72,"OUF anisotropic harmonic 1","None",0,NA,"12hr",1,3.8
"Wet","Sarh.E","Marabodokouya","MAR10","MAR10C","F","Good","Y",31,"Y","OUF anisotropic",9653552,1364113,0.95,70,86,"OUF anisotropic harmonic 2","None",0,NA,"6hr",1,3.47
"Wet","Sarh.E","Marabodokouya","MAR10","MAR10B","F","Moderate","Y",8,"N","OUF anisotropic",31576435,8586857,1.05,11,11,"OUF anisotropic harmonic 1","None",0,NA,"12hr",1,4.27
"Wet","Sarh.E","Marabodokouya","MAR13","MAR13A","F",NA,"N",36,"Y","OUF anisotropic",4307043,553982,1.14,44,68,"OUF anisotropic harmonic 5","24hr",1,41.75,"6hr",1,10.28
"Wet","Sarh.E","Marabodokouya","MAR16","MAR16B","M","Good","Y",47,"Y","OUF anisotropic",10647782,2348519,1.34,39,58,"OUF anisotropic harmonic 2","None",0,NA,"3hr",1,4.09
"Wet","Sarh.E","Marabodokouya","MAR17","MAR17C","M","Poor","Y",48,"Y","OUF anisotropic",1214049,119037,1.18,0,2,"OUF anisotropic harmonic 5","24hr",1,49.61,"24hr",1,11.72
